勘定奉行：伝票区切,G/L Account,仕訳日,申請日,仕訳データ生成日,伝票No.,借方：勘定科目：会計連携項目,借方：補助科目：会計連携項目,,,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
,Vendor,仕訳日,申請日,仕訳データ生成日,伝票No.,,,貸方：勘定科目：会計連携項目,貸方：補助科目：会計連携項目,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
*,G/L Account,2025/04/04,2025/05/13,2025/05/22,VPA-0000151,74510-10,,,,4700.00,R-PHP,VCP.1692G,10099,,VPA-0000151   Training,,"TCM Security, Inc",2664-48066,VCP.1695GS,TCM Security Course
,Vendor,2025/04/04,2025/05/13,2025/05/22,VPA-0000151,,,32200-10,32200-10,4700.00,R-PHP,VCP.1692G,10099,,VPA-0000151   Training,,"TCM Security, Inc",2664-48066,VCP.1695GS,TCM Security Course
,G/L Account,2025/04/08,2025/05/14,2025/05/22,APA-0000402,21510-10,,,,339000.00,R-PHP,VCP.1692G,10063,V-PH00002,APA-0000402 Provantage Systems Inc Computer Equipment,,3 units of Dell Laptops,0037748,VCP.1695G,"- Laptop for new hires under Jonathan Jay Turla
-Setting VCP.1695 as cost center as advised by Finance team."
,Vendor,2025/04/08,2025/05/14,2025/05/22,APA-0000402,,,31200-10,31200-10,339000.00,R-PHP,VCP.1692G,10063,V-PH00002,APA-0000402 Provantage Systems Inc Computer Equipment,,3 units of Dell Laptops,0037748,VCP.1695G,"- Laptop for new hires under Jonathan Jay Turla
-Setting VCP.1695 as cost center as advised by Finance team."
,G/L Account,2025/04/15,2025/05/14,2025/05/22,APA-0000402,21510-10,,,,233900.00,R-PHP,VCP.1692G,10063,V-PH00002,APA-0000402 Provantage Systems Inc Computer Equipment,,2 units of MacBook,0037771,VCP.1695G,"- Laptop for new hires under Jonathan Jay Turla
-Setting VCP.1695 as cost center as advised by Finance team."
,Vendor,2025/04/15,2025/05/14,2025/05/22,APA-0000402,,,31200-10,31200-10,233900.00,R-PHP,VCP.1692G,10063,V-PH00002,APA-0000402 Provantage Systems Inc Computer Equipment,,2 units of MacBook,0037771,VCP.1695G,"- Laptop for new hires under Jonathan Jay Turla
-Setting VCP.1695 as cost center as advised by Finance team."
,G/L Account,2025/04/24,2025/05/20,2025/05/22,APA-0000440,74120-10,,,,33955.04,R-PHP,VCP.1751G,10119,V-PH00003,"APA-0000440 QUERIDO DIEL & CO., CPAS Audit, Tax, Accounting Service",,VCP 2024 audit fee and out of pocket expenses,0079,VCP.1751G,VCP 2024 audit fee and out of pocket expenses
,Vendor,2025/04/24,2025/05/20,2025/05/22,APA-0000440,,,31200-10,31200-10,33955.04,R-PHP,VCP.1751G,10119,V-PH00003,"APA-0000440 QUERIDO DIEL & CO., CPAS Audit, Tax, Accounting Service",,VCP 2024 audit fee and out of pocket expenses,0079,VCP.1751G,VCP 2024 audit fee and out of pocket expenses
,G/L Account,2025/05/03,2025/05/20,2025/05/22,APA-0000437,74120-10,,,,12320.00,R-PHP,VCP.1751G,10119,V-PH00001,"APA-0000437 RAMON F. GARCIA & COMPANY, CPAs Audit, Tax, Accounting Service",,Retainers Fee and OPEX for Tax Compliance Service - May 2025,2568,VCP.1751G,Retainers Fee and OPEX for Tax Compliance Service - May 2025
