勘定奉行：伝票区切,G/L Account,仕訳日,申請日,仕訳データ生成日,伝票No.,借方：勘定科目：会計連携項目,借方：補助科目：会計連携項目,,,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
,Vendor,仕訳日,申請日,仕訳データ生成日,伝票No.,,,貸方：勘定科目：会計連携項目,貸方：補助科目：会計連携項目,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
*,G/L Account,2025/05/20,2025/05/23,2025/06/23,VPA-0000173,21510-10,,,,7500.00,R-PHP,VCP.1692G,10099,,VPA-0000173   Computer Equipment,,Secondhand Device used of iOS testing,1,VCP.1695GS,Secondhand Device used of iOS testing
,Vendor,2025/05/20,2025/05/23,2025/06/23,VPA-0000173,,,32200-10,32200-10,7500.00,R-PHP,VCP.1692G,10099,,VPA-0000173   Computer Equipment,,Secondhand Device used of iOS testing,1,VCP.1695GS,Secondhand Device used of iOS testing
,G/L Account,2025/05/28,2025/05/29,2025/06/23,VPA-0000180,72600-10,72600-30,,,6000.00,R-PHP,VCP.1692G,10105,,VPA-0000180   Domestic Travel - Hotel Accommodation,,The Exchange Regency Residence Hotel,1172,VCP.1695GS,Hotel Expenses from The Exchange Regency Hotel
,Vendor,2025/05/28,2025/05/29,2025/06/23,VPA-0000180,,,32200-10,32200-10,6000.00,R-PHP,VCP.1692G,10105,,VPA-0000180   Domestic Travel - Hotel Accommodation,,The Exchange Regency Residence Hotel,1172,VCP.1695GS,Hotel Expenses from The Exchange Regency Hotel
,G/L Account,2025/06/01,2025/06/11,2025/06/23,VPA-0000198,75410-10,,,,4490.00,R-PHP,VCP.1312G,10133,,VPA-0000198   Non-capitalized Computer Equipment,,"Apple Magic Mouse Reimbursement (For VicOne MacBook) P4,490 - 5125712199392852 BDO Jean Nicole Isiderio",50401,VCP.1312G,"Apple Magic Mouse Reimbursement (For VicOne MacBook) P4,490 - 5125712199392852 BDO Jean Nicole Isiderio"
,Vendor,2025/06/01,2025/06/11,2025/06/23,VPA-0000198,,,32200-10,32200-10,4490.00,R-PHP,VCP.1312G,10133,,VPA-0000198   Non-capitalized Computer Equipment,,"Apple Magic Mouse Reimbursement (For VicOne MacBook) P4,490 - 5125712199392852 BDO Jean Nicole Isiderio",50401,VCP.1312G,"Apple Magic Mouse Reimbursement (For VicOne MacBook) P4,490 - 5125712199392852 BDO Jean Nicole Isiderio"
,G/L Account,2025/06/03,2025/06/19,2025/06/23,APA-0000540,74120-10,,,,12320.00,R-PHP,VCP.1751G,10119,V-PH00001,"APA-0000540 RAMON F. GARCIA & COMPANY, CPAs Audit, Tax, Accounting Service",,Retainers Fee and OPEX for Tax Compliance Service - June 2025,#3186,VCP.1751G,Retainers Fee and OPEX for Tax Compliance Service - June 2025
,Vendor,2025/06/03,2025/06/19,2025/06/23,APA-0000540,,,31200-10,31200-10,12320.00,R-PHP,VCP.1751G,10119,V-PH00001,"APA-0000540 RAMON F. GARCIA & COMPANY, CPAs Audit, Tax, Accounting Service",,Retainers Fee and OPEX for Tax Compliance Service - June 2025,#3186,VCP.1751G,Retainers Fee and OPEX for Tax Compliance Service - June 2025
