勘定奉行：伝票区切,G/L Account,仕訳日,申請日,仕訳データ生成日,伝票No.,借方：勘定科目：会計連携項目,借方：補助科目：会計連携項目,,,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
,Vendor,仕訳日,申請日,仕訳データ生成日,伝票No.,,,貸方：勘定科目：会計連携項目,貸方：補助科目：会計連携項目,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
*,G/L Account,2025/05/28,2025/06/20,2025/06/23,APA-0000483,75562-10,,,,3015.00,R-USD,VCT.1312G,Z00005,V-VC00033,APA-0000483 Image Matterz Advisors Marketing Expense - Others Outsourced Service,,Partial Month of May - Communications Support and International Wire Transfer Fee ?- March,052825,VCT.1312G,"Partial Month of May - Communications Support 
International Wire Transfer Fee ?- March"
,Vendor,2025/05/28,2025/06/20,2025/06/23,APA-0000483,,,31200-10,31200-10,3015.00,R-USD,VCT.1312G,Z00005,V-VC00033,APA-0000483 Image Matterz Advisors Marketing Expense - Others Outsourced Service,,Partial Month of May - Communications Support and International Wire Transfer Fee ?- March,052825,VCT.1312G,"Partial Month of May - Communications Support 
International Wire Transfer Fee ?- March"
,G/L Account,2025/05/31,2025/06/20,2025/06/23,APA-0000484,75500-10,,,,10375.00,R-USD,VCT.1312G,Z00005,V-VC00013,APA-0000484 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne PR Services US/NA- May 2025,25257,VCT.1312G,VicOne PR Services US/NA- May 2025
,Vendor,2025/05/31,2025/06/20,2025/06/23,APA-0000484,,,31200-10,31200-10,10375.00,R-USD,VCT.1312G,Z00005,V-VC00013,APA-0000484 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne PR Services US/NA- May 2025,25257,VCT.1312G,VicOne PR Services US/NA- May 2025
,G/L Account,2025/05/31,2025/06/20,2025/06/23,APA-0000485,75500-10,,,,9150.00,R-USD,VCT.1312G,Z00005,V-VC00013,APA-0000485 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne PR Services Germany- May 2025,25256,VCT.1312G,VicOne PR Services Germany- May 2025
,Vendor,2025/05/31,2025/06/20,2025/06/23,APA-0000485,,,31200-10,31200-10,9150.00,R-USD,VCT.1312G,Z00005,V-VC00013,APA-0000485 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne PR Services Germany- May 2025,25256,VCT.1312G,VicOne PR Services Germany- May 2025
,G/L Account,2025/05/31,2025/06/20,2025/06/23,APA-0000486,75500-10,,,,6023.78,R-EUR,VCT.1312G,Z00005,V-VC00013,APA-0000486 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne Google AdWords Campaign- May 2025,25258,VCT.1312G,VicOne Google AdWords Campaign- May 2025
,Vendor,2025/05/31,2025/06/20,2025/06/23,APA-0000486,,,31200-10,31200-10,6023.78,R-EUR,VCT.1312G,Z00005,V-VC00013,APA-0000486 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne Google AdWords Campaign- May 2025,25258,VCT.1312G,VicOne Google AdWords Campaign- May 2025
,G/L Account,2025/05/31,2025/06/20,2025/06/23,APA-0000487,75500-10,,,,5000.00,R-USD,VCT.1312G,Z00005,V-VC00013,APA-0000487 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne SEM/SEO Cybersecurity Report & Pwn2Own Campaign- May 2025,25259,VCT.1312G,VicOne SEM/SEO Cybersecurity Report & Pwn2Own Campaign- May 2025
,Vendor,2025/05/31,2025/06/20,2025/06/23,APA-0000487,,,31200-10,31200-10,5000.00,R-USD,VCT.1312G,Z00005,V-VC00013,APA-0000487 GCPRNET Corporation Marketing Expense - Public Relations,,VicOne SEM/SEO Cybersecurity Report & Pwn2Own Campaign- May 2025,25259,VCT.1312G,VicOne SEM/SEO Cybersecurity Report & Pwn2Own Campaign- May 2025
