勘定奉行：伝票区切,G/L Account,仕訳日,申請日,仕訳データ生成日,伝票No.,借方：勘定科目：会計連携項目,借方：補助科目：会計連携項目,,,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
,Vendor,仕訳日,申請日,仕訳データ生成日,伝票No.,,,貸方：勘定科目：会計連携項目,貸方：補助科目：会計連携項目,換算前額,単位,借方：負担部門：会計連携項目,申請者CD/支払先CD,支払先CD,摘要,フリー２(明細),Receipt/Invoice Note(明細),Receipt/Invoice No.(明細),借方：負担部門コード,備考
*,G/L Account,2025/04/22,2025/06/30,2025/07/04,APA-0000552,75512-10,,,,500.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,ESCAR USA Ticket,20250404,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,Vendor,2025/04/22,2025/06/30,2025/07/04,APA-0000552,,,31200-10,31200-10,500.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,ESCAR USA Ticket,20250404,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,G/L Account,2025/04/22,2025/06/30,2025/07/04,APA-0000552,75512-10,,,,500.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,ESCAR USA Ticket,20250404,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,Vendor,2025/04/22,2025/06/30,2025/07/04,APA-0000552,,,31200-10,31200-10,500.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,ESCAR USA Ticket,20250404,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,G/L Account,2025/05/06,2025/06/30,2025/07/04,APA-0000552,75512-10,,,,566.94,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,Freight. Fraud Symposium Tickeet Johan,20250505,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,Vendor,2025/05/06,2025/06/30,2025/07/04,APA-0000552,,,31200-10,31200-10,566.94,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,Freight. Fraud Symposium Tickeet Johan,20250505,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,G/L Account,2025/06/03,2025/06/30,2025/07/04,APA-0000552,75512-10,,,,225.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,COVESa REception TV Setup / teardown,20250505,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,Vendor,2025/06/03,2025/06/30,2025/07/04,APA-0000552,,,31200-10,31200-10,225.00,R-USD,VCA.1342G,10126,V-VC00048,APA-0000552 VicOne Corporate Credit Card Marketing Expense - Event - Trade shows/Road show,,COVESa REception TV Setup / teardown,20250505,VCA.1342G,"ESCAR USA Tickets, Freight Fraud Symposium Ticket, AUTO ISAC Europe Ticket, COVESA TV setup and Teardown"
,G/L Account,2025/06/25,2025/07/02,2025/07/04,APA-0000481,74850-10,,,,366.00,NTD,VCT.1751G,10115,V-VC00048,APA-0000481 VicOne Corporate Credit Card Web Service,,NordVpn,NRDCH-408960,VCT.1731G,"NordVpn, credit card No.:4865951001070770"
,Vendor,2025/06/25,2025/07/02,2025/07/04,APA-0000481,,,31200-10,31200-10,366.00,NTD,VCT.1751G,10115,V-VC00048,APA-0000481 VicOne Corporate Credit Card Web Service,,NordVpn,NRDCH-408960,VCT.1731G,"NordVpn, credit card No.:4865951001070770"
,G/L Account,2025/06/25,2025/07/02,2025/07/04,APA-0000481,74850-10,,,,366.00,NTD,VCT.1751G,10115,V-VC00048,APA-0000481 VicOne Corporate Credit Card Web Service,,NordVpn,NRDCH-408959,VCT.1731G,"NordVpn, credit card No.:4865951001070770"
,Vendor,2025/06/25,2025/07/02,2025/07/04,APA-0000481,,,31200-10,31200-10,366.00,NTD,VCT.1751G,10115,V-VC00048,APA-0000481 VicOne Corporate Credit Card Web Service,,NordVpn,NRDCH-408959,VCT.1731G,"NordVpn, credit card No.:4865951001070770"
